Customer ID,Recency,Frequency,Monetary,R,F,M,Segment
12346.0,303,12,77556.46,2,4,4,At Risk
12347.0,17,7,5408.5,4,4,4,Champion
12348.0,53,5,2019.4,3,3,3,Champion
12349.0,385,3,2671.14,1,2,4,Lost
12350.0,287,1,334.4,2,1,1,At Risk
12351.0,352,1,300.93,2,1,1,At Risk
12352.0,14,10,2849.84,4,4,4,Champion
12353.0,181,2,406.76,2,2,2,At Risk
12354.0,210,1,1079.4,2,1,3,At Risk
12355.0,192,2,947.61,2,2,3,At Risk
12356.0,223,5,6315.33,2,3,4,At Risk
12357.0,10,3,18287.66,4,2,4,Loyal
12358.0,128,4,3203.87,2,3,4,At Risk
12359.0,35,10,8935.94,3,4,4,Champion
12360.0,29,8,4252.89,3,4,4,Champion
12361.0,265,4,511.25,2,3,2,At Risk
12362.0,13,10,4827.19,4,4,4,Champion
12363.0,87,2,552.0,3,2,2,Loyal
12364.0,17,3,1002.78,4,2,3,Loyal
12365.0,269,2,641.38,2,2,2,At Risk
12366.0,611,1,500.24,1,1,2,Lost
12368.0,605,1,917.6999999999999,1,1,3,Lost
12369.0,391,3,1791.15,1,2,3,Lost
12370.0,29,7,4320.31,3,4,4,Champion
12371.0,22,5,4067.38,4,3,4,Champion
12372.0,49,3,1298.04,3,2,3,Loyal
12373.0,289,3,1127.65,2,2,3,At Risk
12374.0,2,4,2989.2200000000003,4,3,4,Champion
12375.0,76,1,230.3,3,1,1,New Client
12376.0,367,2,503.15,1,2,2,Lost
12377.0,292,4,3426.32,2,3,4,At Risk
12378.0,107,2,5416.32,3,2,4,Loyal
12379.0,59,4,1620.22,3,3,3,Champion
12380.0,34,10,8635.91,3,4,4,Champion
12381.0,11,4,1698.3,4,3,3,Champion
12383.0,162,5,1850.56,2,3,3,At Risk
12384.0,6,2,585.27,4,2,2,Loyal
12385.0,357,1,1938.4,2,1,3,At Risk
12386.0,315,2,660.8,2,2,2,At Risk
12387.0,392,1,143.94,1,1,1,Lost
12388.0,53,7,3614.71,3,4,4,Champion
12389.0,380,3,1433.33,1,2,3,Lost
12390.0,57,1,549.84,3,1,2,New Client
12391.0,442,5,2312.53,1,3,4,Lost
12392.0,569,1,234.75000000000003,1,1,1,Lost
12393.0,49,6,2399.4500000000003,3,3,4,Champion
12394.0,41,2,1272.48,3,2,3,Loyal
12395.0,8,14,4801.44,4,4,4,Champion
12396.0,652,1,931.43,1,1,3,Lost
12397.0,13,2,2409.9,4,2,4,Loyal
12398.0,23,1,1635.6599999999999,4,1,3,New Client
12399.0,97,7,1962.3,3,4,3,Champion
12400.0,392,1,205.25,1,1,1,Lost
12401.0,281,1,84.3,2,1,1,At Risk
12402.0,301,6,1256.9,2,3,3,At Risk
12403.0,27,2,1019.36,4,2,3,Loyal
12404.0,659,1,63.24,1,1,1,Lost
12405.0,126,1,1710.39,2,1,3,At Risk
12406.0,161,4,4596.31,2,3,4,At Risk
