Description,TotalSpend
REGENCY CAKESTAND 3 TIER,275877.1
WHITE HANGING HEART T-LIGHT HOLDER,245292.86000000002
Manual,151413.14
JUMBO BAG RED RETROSPOT,132381.95
ASSORTED COLOUR BIRD ORNAMENT,121879.2
POSTAGE,117544.09
PARTY BUNTING,101211.92
MEDIUM CERAMIC TOP STORAGE JAR,80631.28
PAPER CHAIN KIT 50'S CHRISTMAS,67774.03
CHILLI LIGHTS,65086.130000000005
JUMBO BAG STRAWBERRY,63466.43
BLACK RECORD COVER FRAME,59234.21
WOOD BLACK BOARD ANT WHITE FINISH,57131.659999999996
VINTAGE UNION JACK BUNTING,54118.49
EDWARDIAN PARASOL NATURAL,53796.01
ROTATING SILVER ANGELS T-LIGHT HLDR,52590.299999999996
JUMBO  BAG BAROQUE BLACK WHITE,51500.9
CREAM HEART CARD HOLDER,50991.94
VINTAGE UNION JACK MEMOBOARD,50728.02
HEART OF WICKER LARGE,48684.21000000001
